ROI ID,ROI Name,ROI Comment
ROI 1,ROI 1,J55353_640_tumor
ROI 2,ROI 2,HCI009_700_tumor
ROI 3,ROI 3,HCI009_700_lung
ROI 4,ROI 4,HCI009_700_lung
ROI 5,ROI 5,HCI011_690_lung
ROI 6,ROI 6,HCI011_690_lung
ROI 7,ROI 7,J55353_640_lung
ROI 8,ROI 8,J55353_640_lung
ROI 9,ROI 9,J55353_640_lung
ROI 10,ROI 10,HCI011_690_tumor
ROI 11,ROI 11,HCI011_690_tumor
ROI 12,ROI 12,HCI011_690_tumor
ROI 13,ROI 13,HCI009_700_tumor
